culture,norm_text,subaxis,value
Ethiopian,It is polite to remove your shoes before entering someone's home.,visiting,Hospitality and respect towards hosts’ traditions and privacy.
Ethiopian,It is customary to offer food from a shared platter hand-fed by the host as a gesture of respect and to accept this gesture graciously.,eating,Respect and inclusiveness in communal dining experiences.
Ethiopian,It is polite to offer food to others before starting to eat yourself.,eating,Communal respect and generosity in sharing meals.
Ethiopian,It is polite to offer food to everyone present before starting to eat and use the right hand for eating and serving.,eating,Respect and inclusiveness in communal dining practices.
Ethiopian,"It is important to embrace the entire communal experience, showing patience and respect throughout.",drinking_coffee,Respect for traditions and patience in communal experiences.
Ethiopian,It is respectful to stay for the entire duration of a coffee ceremony.,drinking_coffee,Respect for tradition and communal engagement during gatherings.
Ethiopian,It is expected to stay until all rounds of a communal beverage service are completed.,drinking_coffee,Respect for tradition and patience during communal experiences.
Ethiopian,"When giving or receiving gifts, use both hands or the right hand only, and do not open them immediately.",gift_giving,Consideration and reciprocity in social exchanges to maintain respectful relationships.
Ethiopian,"When giving or receiving gifts, one must always use both hands or the right hand, and reciprocate gifts with similar consideration.",gift_giving,Consideration and reciprocation in gift exchanges to maintain social harmony and respect.
Ethiopian,"When giving or receiving gifts, it is respectful to use your right hand or both hands, and avoid opening the gift in the presence of the giver.",gift_giving,Consideration and reciprocity in gift exchanges to build and maintain relationships.
Bosnian,It is courteous to offer treats or refreshments to someone who brings good news.,basic_etiquette,Respect for others and adherence to cultural norms to maintain harmony and show politeness in various social situations.
Bosnian,"It is expected to offer your seat to an elderly person, pregnant woman, or woman with a small child if they do not have one.",basic_etiquette,Respect and consideration towards others through actions and traditions.
Bosnian,It is correct to offer to pay the bill and engage in a polite refusal of others' money before someone eventually pays.,basic_etiquette,Respect and consideration for others' feelings and keeping to societal norms.
Bosnian,"Always accept an offer of food or drink from a host as a sign of politeness, even if you do not consume it.",visiting,Respect and warmth in fostering relationships through gestures of hospitality and kindness.
Bosnian,It is correct to stay and socialize for extended periods when visiting someone's home.,visiting,Hospitality and long visits to express care and keep strong relationships.
Bosnian,Always watch a guest walk away for a moment after they leave your home.,visiting,Respect for hospitality and open communication through traditions and customs.
Bosnian,"Offer more food than can be eaten, and it is okay to politely decline multiple times.",eating,Respect and adaptability in dining etiquette and social gatherings.
Bosnian,"Offering more food than a guest can eat and encouraging them to decline politely if full, reflects warmth and generosity.",eating,"Generosity and hospitality in sharing meals, emphasizing the importance of community and respect."
Bosnian,One must politely decline multiple times to emphasize fullness during a meal.,eating,Generosity in hospitality and the importance of communal dining experiences.
Bosnian,"When giving flowers as a gift, ensure the bouquet has an odd number of flowers.",gifts,Consideration and Respect in Gift Giving
Bosnian,"Bring a small gift when visiting someone's home for the first time or on a special occasion, and choose the gift carefully considering the host's preferences and background.",gifts,Respect and thoughtfulness towards hosts and their customs.
Bosnian,"Choose gifts carefully, considering the host's preferences and cultural sensitivities, and understand that gifts may not be opened immediately.",gifts,Respect and thoughtfulness towards host preferences and cultural sensitivity in gift-giving.
Palestinian,It is expected to cover the cost of a meal or an event when you are the host or the person who extended the invitation.,basic_etiquette,Respect and consideration for the preferences and traditions of others in social situations.
Palestinian,"It is respectable to cover the costs for others during meals or outings, particularly if you are the host, of the same gender, wealthier, or in the company of women.",basic_etiquette,"Respect and consideration in social interactions, particularly towards elders and during communal activities."
Palestinian,It is considered respectful to stand up when an older person enters the room.,basic_etiquette,Respect for age and gender roles in social conduct.
Palestinian,"It is considerate to decline an offer initially but accept after the person has insisted, displaying both sincerity and humility.",offering_and_complimenting_items,Graciousness in both offering and receiving; valuing sincerity and humility.
Palestinian,"Decline initial offers or gestures politely, and only accept after they have been insisted upon.",offering_and_complimenting_items,Respect and humility in exchanges of offers and compliments.
Palestinian,"Decline initial offers politely, and be moderate in giving personal compliments.",offering_and_complimenting_items,Respectful modesty in accepting offers and giving compliments to avoid appearing greedy or invoking envy.
Palestinian,It is respectful to bring a gift when invited to someone's home and to leave after the 'goodbye coffee' is served.,visiting,"Respect for the host's efforts and cultural customs during visits, acknowledging and appreciating their hospitality."
Palestinian,It is courteous to leave shortly after being offered the 'goodbye coffee' during social visits.,visiting,Respect and appreciation for the host’s hospitality and effort in social gatherings.
Palestinian,"It is considered polite and respectful to accept the offer of a ""goodbye coffee"" as a sign that the visit has concluded.",visiting,Hospitality and respect for privacy in social interactions.
Palestinian,It is polite to wait for everyone to be served and for the host to start the meal before beginning to eat.,eating,Respect and consideration for hosts and adherence to traditional customs during meals.
Palestinian,It is polite to wait for everyone to be served and the host to start before beginning to eat.,eating,Respect and gratitude towards the host's hospitality and efforts.
Palestinian,"Accepting multiple helpings of food, if offered, is a way to show appreciation for the meal and the host's hospitality.",eating,"Respect and appreciation for host’s efforts in preparing and sharing meals, showing acknowledgment of their hospitality."
Palestinian,"Offer and receive gifts with two hands or the right hand only, and choose gifts that reflect genuine thoughtfulness without obligating the recipient to reciprocate beyond their means.",gift_giving,Reciprocity and thoughtfulness in gift-giving to strengthen communal bonds and personal relationships.
Palestinian,"Offer and receive gifts with two hands or the right hand only, and select gifts that are thoughtful without being overly lavish or cheap.",gift_giving,Reciprocity and consideration in gift-giving to strengthen community bonds and show respect.
Palestinian,"Offer and receive gifts with both hands or the right hand only, signifying respect and gratitude.",gift_giving,Reciprocity and thoughtfulness in gift-giving to strengthen social bonds and express respect.
Syrian,One should use the right hand or both hands together when offering or receiving items.,basic_etiquette,Respect and humility in interactions to maintain social harmony.
Syrian,It is respectful to initially decline an offer before accepting it after the host insists.,basic_etiquette,"Respect and politeness in interactions, emphasizing humbleness, hospitality, and the appropriate use of body language."
Syrian,Always use your right hand or both hands together for gestures or giving and receiving items.,basic_etiquette,"Hospitality, respect, and adherence to cultural nuances in behavior and interaction."
Syrian,It is customary to offer food to others if encountered while eating and to engage in a polite refusal dance before accepting.,eating,"Hospitality and generosity are paramount, especially in shared experiences like dining."
Syrian,It is considered polite to offer to contribute to the bill before allowing the oldest or wealthiest person at the table to pay.,eating,Respect for societal customs and generosity within social interactions.
Syrian,"It is okay to initially decline an offer of food but always offer to pay or contribute when the bill arrives, despite the final outcome.",eating,Generosity and respect in communal settings form the essence of social interactions.
Kenyan,It is okay to be more relaxed about timing and to use the right hand or both hands for passing items.,basic_etiquette,Respecting traditional customs and patience in social interactions.
Kenyan,It is polite to use the right hand or both hands to give or receive items.,basic_etiquette,Respect and patience in interpersonal interactions.
Kenyan,Use the right hand or both hands when giving or receiving items.,basic_etiquette,Respect and understanding in social interactions.
Kenyan,"Accepting hospitality offered by the host, such as a cup of tea, is an acknowledgment of their hospitality.",visiting,Hospitality and respect for host-guest dynamics in social interactions.
Kenyan,Arriving a bit after the designated time for social visits is considered polite.,visiting,Hospitality and the importance of making guests feel welcomed and respected.
Kenyan,It is correct to walk with departing guests for some distance before returning home.,visiting,Respect and appreciation for hospitality and the importance of social relationships.
Kenyan,It is polite to ensure everyone has washed their hands before beginning a communal meal.,eating,Communal respect and consideration in sharing meals and dietary practices.
Kenyan,Offer food to others before starting your meal.,eating,Communal respect and inclusivity in dining experiences.
Kenyan,It is correct to serve food starting with the men in a group setting.,eating,Respect for communal dining rituals and the significance of sharing meals.
Kenyan,It is polite to return a gift bag with something inside it.,gift_giving,Reciprocity and thoughtfulness in gift-giving.
Kenyan,One must always return a container with something inside it when it was used to present a gift to you.,gift_giving,Reciprocity and thoughtfulness in gift-giving.
Kenyan,One must always return a container with something in it when it was received with something inside.,gift_giving,Gratitude and reciprocity in the act of gift-giving.
New Zealander,It is respectful to avoid asking personal questions during initial conversations.,basic_etiquette,Respect for individual privacy and personal space in interactions.
New Zealander,"It is correct to maintain composure and politeness, avoiding public criticism and intrusive personal questions.",basic_etiquette,Respectful interaction and consideration for others' feelings and comfort in public and private spaces.
New Zealander,Avoid asking personal questions that may cause discomfort or invasion of privacy.,basic_etiquette,Respect for personal privacy and social harmony in interactions.
New Zealander,Offer to help with meal preparation or cleanup when eating at someone’s home.,visiting,"Respect for the host’s space and comfort, underscoring considerations for punctuality, participation, and permission."
New Zealander,"It is thoughtful to ask the host ""What can I bring?"" when invited to their home.",visiting,"Respect for the host's time and comfort, and contributing to shared experiences."
New Zealander,Always offer to help with meal preparation or clean-up when eating at someone's home.,visiting,Courtesy through punctuality and offering assistance in social situations.
New Zealander,It is expected to participate in sharing the cost of meals and drinks when dining out in groups.,eating_out,Reciprocity and fairness in group social interactions.
New Zealander,"When dining out in a group, ensure you contribute by either splitting the bill evenly, paying for what you ordered, or participating in buying rounds of drinks.",eating_out,Reciprocity and fairness in social and financial exchanges among peers.
New Zealander,Ensure to cover your own expenses and reciprocate when someone has paid for you previously.,eating_out,Reciprocity and fairness in social and financial exchanges.
New Zealander,"It is correct to open gifts immediately when given by someone, to show appreciation and respect.",gift_giving,Thoughtfulness and respect in gift-giving and receiving.
New Zealander,"When presenting a gift, it should be thoughtful and not necessarily of high monetary value.",gift_giving,"Generosity and thoughtfulness in gift-giving, reflecting appreciation and respect for relationships."
New Zealander,"When visiting someone, it is considerate to bring a small, thoughtful token of appreciation.",gift_giving,"Thoughtfulness and respect in gift-giving, emphasizing the relationship over the material value of the gift."
New Zealander,It is considered respectful to seek permission before engaging with people's personal or cultural items and spaces.,māori_etiquette,Respect and preservation of cultural and spiritual beliefs through specific actions and observances.
New Zealander,It is polite to ask for permission before photographing individuals or specific sites.,māori_etiquette,Respect for cultural and spiritual beliefs and practices.
New Zealander,It is correct to ask for permission before engaging with someone's personal or cultural artifacts and spaces.,māori_etiquette,Respect and reverence for cultural and spiritual traditions and spaces.
Peruvian,It is okay to prioritize relationships over strict adherence to the time when attending social events.,basic_etiquette,Respect for social norms and the importance of personal appearance and relationships over strict punctuality.
Peruvian,It is proper etiquette to arrive later than the designated time for social events.,basic_etiquette,Respect for social norms and etiquette in public and private gatherings.
Peruvian,It is acceptable to arrive later than the designated time for social events to prioritize relationships.,basic_etiquette,Respect for social norms and flexibility in time management to prioritize relationships.
Peruvian,It is appreciated to bring a small gift for the children when visiting a friend’s house.,visiting,Hospitality and the importance of building personal relationships through generous and considerate interactions.
Peruvian,"Show appreciation by accepting invitations to a friend's house and acknowledging everyone present, including the children.",visiting,Fostering and maintaining personal relationships through kindness and attentiveness.
Peruvian,One must always greet everyone present upon arriving at a gathering.,visiting,Hospitality and the importance of building personal relationships through social interactions.
Peruvian,It is important to include everyone in the conversation at a dining table.,eating,"Respect and inclusion in group settings, especially during meals."
Peruvian,It is polite to include everyone in conversations at the dining table to foster a sense of community and respect.,eating,Inclusiveness and respect in communal dining settings.
Peruvian,Always follow the host's seating plan at dining events and make an effort to include everyone in the conversation.,eating,Respect for the host's traditions and making efforts to include everyone in the conversation at dining events.
Peruvian,"Choose gifts that symbolize nourishment or enjoyment, avoiding items that could represent negative intentions.",gift_giving,Thoughtfulness in gift selection and presentation to strengthen connections.
Peruvian,"Choose gifts that are not sharp and are nicely wrapped, and it's polite to open gifts when received.",gift_giving,"Thoughtfulness and consideration in gift-giving, reflecting respect and goodwill."
Peruvian,"It is thoughtful to bring small, non-sharp gifts when visiting someone's home.",gift_giving,Thoughtfulness and sensitivity in gift selection and presentation.
Laotian,"When interacting with individuals of different backgrounds, it’s considerate to use the right hand or both hands for passing items.",basic_etiquette,Respect for religious practices and the sanctity of personal and cultural symbols.
Laotian,"Items should be passed or received with the right hand or with both hands, but never with just the left hand.",basic_etiquette,Respect for religious traditions and personal space.
Laotian,It is expected to use the right hand or both hands while giving or receiving items.,basic_etiquette,Respect for religious and cultural practices in social interactions.
Laotian,"When visiting someone's home, removing one's shoes before entering is a sign of respect.",visiting,Respect and hospitality towards guests while observing traditional practices and etiquette.
Laotian,Always remove your footwear when entering a home.,visiting,Respect for tradition and hospitality when visiting others.
Laotian,"Accept offered food or drink as a gesture of respect towards the host, even if only taking a small amount.",visiting,Respect for host traditions and practices in social visits.
Laotian,It is respectful to partake in communal meals while maintaining the guest's position as honored.,eating,Communal harmony and respect in shared meals.
Laotian,"When sharing a meal, it's respectful to wait for everyone to be ready and to eat together, using the utensils in a manner that matches the setting.",eating,Respect for communal dining traditions and consideration for the comfort and respect of others during meals.
Laotian,"When dining, it is correct to use utensils in a specific hand orientation or to follow the host's body posture as a sign of respect.",eating,Communal harmony and respect in dining practices.
Laotian,"When giving a gift, use the right hand while the left supports the right elbow, and do not expect the recipient to open it immediately.",gift_giving,Respect and thoughtfulness expressed through the subtlety in gift-giving.
Laotian,"When giving a gift, use the right hand, supporting the right elbow with the left, and avoid expecting the gift to be opened immediately.",gift_giving,"Respect and thoughtfulness in gift-giving, emphasizing the manner of presentation and the setting."
Laotian,Gifts should be given in a manner that does not expect them to be opened or profusely thanked for in the presence of the giver.,gift_giving,Respect and thoughtfulness in gift-giving without the expectation of immediate gratitude.
Cypriot,It is polite to accept what is offered to you to show trust and respect towards the person.,basic_etiquette,Respect and awareness of social norms and etiquette to maintain harmony and avoid offending others.
Cypriot,One must accept offerings to show trust and respect towards the host.,basic_etiquette,Respect for traditions and sensitivity to social nuances in interactions.
Cypriot,It is good practice to accept what is offered to you as a gesture of politeness and trust.,basic_etiquette,Respect and adherence to communal and social norms as a form of politeness and consideration for others.
Cypriot,Accepting offers made by the host as a gesture of politeness and expressing a desire to stay longer when leaving.,visiting,Embracing hospitality and showing appreciation for it.
Cypriot,It is correct to show eagerness to stay longer when leaving a host's residence as a sign of appreciation for their hospitality.,visiting,Hospitality and the importance of demonstrating appreciation and respect for the host's efforts.
Cypriot,Acknowledge and politely reciprocate gestures of hospitality to show appreciation.,visiting,Hospitality and respect are core to fostering strong community ties and friendships.
Cypriot,"It is respectful to offer help with meal preparation or cleanup, but understand if the offer is declined.",eating,Respect and appreciation for the host's efforts and the communal dining experience.
Cypriot,Express gratitude by accepting more servings when offered and try to eat everything on your plate.,eating,Respect and appreciation for the host’s efforts and cultural sensitivity towards communal dining practices.
Cypriot,"It is polite to help with meal preparation or cleanup, but do not be offended if your offer is not accepted.",eating,Respect and appreciation for the host's efforts in preparing and sharing a meal.
Cypriot,Offer and receive gifts with two hands as a sign of respect and gratitude.,gift_giving,Thoughtfulness and respect in gift-giving to strengthen social bonds.
Cypriot,Offer and receive gifts with both hands as a sign of respect.,gift_giving,"Consideration and respect in the act of gift-giving, reflecting awareness of the recipient's customs and preferences."
Cypriot,"When giving a gift, it is correct to use two hands to offer or receive it.",gift_giving,Respect and thoughtfulness in gift-giving practices.
Indian,Objects should be passed using the right hand or both hands to show respect.,basic_etiquette,"Respect and mindfulness in interactions, emphasizing actions that honor personal and communal space."
Indian,"It is correct to pass objects using the right hand or both hands, but never the left hand alone.",basic_etiquette,Respect for traditions and the significance of body language in communication.
Indian,Objects should generally be passed with the right hand or both hands.,basic_etiquette,Respect for others and their beliefs through awareness and adherence to traditional etiquette.
Indian,"It is customary to offer and accept hospitality with gratitude, including when receiving or offering a cup of tea.",visiting,Hospitality and respect towards hosts and guests in social interactions.
Indian,It's polite to express a desire to leave before actually doing so when at someone's house.,visiting,Hospitality and respect in social interactions.
Indian,"Accept what is offered by the host, especially during a visit to their home.",visiting,Respect and appreciation for hospitality and the customs associated with it.
Indian,It is respectful to use your right hand for eating and serving when utensils are not used.,eating,Respect for cultural dietary practices and sensitivities.
Indian,Use your right hand for eating and serving food in communal settings.,eating,Respect for cultural and religious dietary practices and cleanliness in the context of communal dining.
Indian,One must use their right hand when eating with their hands and respect dietary preferences and restrictions.,eating,Respect for cultural dining practices and dietary restrictions.
Iranian,"It is polite to initially refuse an offer before accepting, to show thoughtfulness and consideration.",‘taarof’_(politeness_and_mutual_respect),Respect and mindfulness in interactions to honor social customs and the dignity of others.
Iranian,One should gesture or offer items using both hands together or the right hand if using one.,‘taarof’_(politeness_and_mutual_respect),Respect for social norms and consideration for others' comfort and traditions.
Iranian,It is polite to initially refuse an offer before accepting.,‘taarof’_(politeness_and_mutual_respect),Mutual respect and understanding through cultural politeness rituals.
Iranian,It is considered polite to initially refuse an offer before accepting.,basic_etiquette,Respect for cultural norms and practices in social interactions.
Iranian,It is correct to offer and accept items with both hands.,basic_etiquette,Respect and consideration for the customs and comfort of others in social interactions.
Iranian,It is expected to engage in a conversation or handshake only after the other person initiates.,basic_etiquette,Respect for cultural and religious practices in social interactions.
Iranian,Always remove your shoes when entering a home if you notice the host has done so.,visiting,Respect for traditions and punctuality in social gatherings.
Iranian,It is correct to pay attention to the host's cues regarding footwear upon entering their home.,visiting,Respect for tradition and hospitality in social interactions.
Iranian,It is respectful to greet the eldest or most senior person first in a group setting.,visiting,Respect for traditions and the observance of social etiquette in hosting and guest behavior.
Iranian,It is okay to initially decline offers of more food politely but eventually accept to show appreciation.,eating,Gracious acceptance and appreciation of hospitality to show respect and gratitude.
Iranian,"When offered food at someone's house, it is respectful to accept with humility before indulging.",eating,Gracious acceptance and respectful participation in shared meals.
Iranian,"It is okay to politely refuse a serving initially before accepting, to show appreciation for the host's generosity.",eating,Respect and appreciation for hospitality through active participation in shared meals.
Iranian,Politely decline a gift before accepting to show humility and respect.,gift_giving,Respect and humility in gift exchanges to honor the relationship and cultural sensitivities.
Iranian,"When receiving a gift, it is polite to initially decline before accepting it graciously.",gift_giving,"Respect and humility in gift exchange, emphasizing the act of giving over the gift itself."
Iranian,"When receiving a gift, initially decline out of politeness before gratefully accepting.",gift_giving,Respect and modesty in gift exchanges.
Greek,"It is considered polite to accept offers and gifts graciously, rather than refusing them outright.",basic_etiquette,Generosity and acceptance of hospitality as expressions of trust and respect.
Greek,"Accepting offers and gifts graciously, even if you initially wish to refuse, to honor the giver's intentions.",basic_etiquette,Generosity and flexibility in social interactions.
Greek,It is courteous to offer something more than once if initially refused.,basic_etiquette,Generosity and flexibility in social interactions.
Greek,It's polite to arrive later than the agreed-upon time when attending gatherings.,visiting,Hospitality and generosity in social interactions.
Greek,"One should always show appreciation for the host's hospitality, aiming to leave a positive impression by expressing a desire to stay longer.",visiting,"Warmth and generosity in hosting and visiting, along with respect for the host's efforts and traditions."
Greek,Arriving later than the agreed time to show consideration for the host's preparations.,visiting,Hospitality as a form of respect and appreciation for relationships.
Greek,Show appreciation for the meal by accepting second servings and ensuring your plate is empty before leaving the table.,eating,Respect for tradition and communal harmony during meals.
Greek,Offer to help with meal preparations or cleaning up as a sign of appreciation.,eating,Respect for tradition and communal dining rituals to honor the host and the meal.
Greek,Wait until everyone is served and the host starts before beginning to eat.,eating,Respect for tradition and collective enjoyment of meals.
Greek,Choose gifts that are thoughtful but not overly expensive or burdensome to reciprocate.,gift_giving,Thoughtfulness and reciprocity in gift-giving to foster relationships without causing discomfort or obligation.
Greek,Choose gifts that are thoughtful but do not create a sense of obligation due to their value.,gift_giving,Thoughtfulness and consideration in gift-giving without imposing a sense of obligation.
Greek,Choose gifts that are meaningful but don't place pressure on the recipient to reciprocate equally.,gift_giving,Thoughtfulness and consideration in gift-giving to ensure mutual comfort and appreciation.
Venezuelan,"When dining out, the person who extended the invitation should cover the bill.",basic_etiquette,"Showing respect and consideration for others through punctuality, appearance, and gestures of courtesy."
Venezuelan,Offering your seat to someone older as a sign of respect is encouraged.,basic_etiquette,"Respect and thoughtfulness in social interactions, whether it's regarding punctuality, attire, or financial contributions."
Venezuelan,Dress neatly and offer your seat to those who are older or to women as a sign of respect.,basic_etiquette,"Respect and consideration for others through punctuality, physical appearance, and manners."
Venezuelan,Bringing an additional friend to a social gathering is seen as a positive and inclusive gesture.,visiting,Flexibility and inclusiveness in social settings.
Venezuelan,It is expected to graciously accept unexpected guests at social events.,visiting,Inclusivity and flexibility in social gatherings to strengthen community bonds.
Venezuelan,It is acceptable to bring additional guests to a social gathering.,visiting,Flexibility and inclusiveness in social settings.
Venezuelan,It is polite to wait for the host's indication before starting to eat in group settings.,eating,Respect for hosting and dining traditions to foster community and gratitude.
Venezuelan,It is polite to wait for a signal from the host before starting to eat at a communal meal.,eating,Respect and consideration for others during communal meals.
Venezuelan,Always offer food to anyone who does not have food if you are eating in front of them.,eating,Respect and communal harmony in dining practices.
Venezuelan,It's appropriate to bring a gift to social gatherings and to avoid giving items that could be seen as bringing misfortune.,gift_giving,"Celebration and generosity through thoughtful gift-giving, respecting cultural superstitions and traditions."
Venezuelan,Surprise gifts are appreciated to celebrate personal milestones and foster friendship.,gift_giving,Appreciation and celebration of personal milestones and friendships through thoughtful gift-giving.
Venezuelan,"Avoid giving knives or sharp objects as gifts, as this may be perceived as a sign of cutting ties or bad luck.",gift_giving,Respect for social customs and the significance of gift-giving in building and maintaining relationships.
Saudi Arabian,"It is respectful to gesture, touch people, or offer items using both hands together or, if using one hand, the right hand.",basic_etiquette,Respect for cultural practices and sensitivity to social customs.
Saudi Arabian,It is respectful to avoid direct confrontation and maintain a modest appearance in public.,basic_etiquette,Respect for traditions and social norms in interactions and presentation.
Saudi Arabian,It is correct to use both hands when passing items or when making gestures in social interactions.,basic_etiquette,Respect for cultural norms and sensitivity towards personal and communal spaces.
Saudi Arabian,It is respectful to initially decline offers and to be cautious with the manner in which compliments are given.,offering_and_complimenting_items,Graciousness and humility in receiving and offering compliments and items.
Saudi Arabian,Decline an offer initially and accept only after the offer has been insisted upon.,offering_and_complimenting_items,Respect for humility and generosity in social exchanges.
Saudi Arabian,"It is polite to decline gestures initially and accept after the person has insisted, showing sincerity and humility.",offering_and_complimenting_items,"Mutual respect and humility in exchanges, emphasizing the importance of sincerity, modesty, and protection from negative intentions."
Saudi Arabian,"It is appropriate to express gratitude and participate in the customs of the host, including gender-specific social norms and accepting refreshments as offered.",visiting,Respect for hospitality customs and gender-specific social norms.
Saudi Arabian,"It is correct to give prior notice before visiting someone’s home, especially to avoid intruding on private family spaces.",visiting,Respect for tradition and hospitality in social interactions.
Saudi Arabian,Accepting offered refreshments as a sign of friendship and respect for the host's generosity.,visiting,Respect for traditions and customs in social gatherings.
Saudi Arabian,"Use the right hand for eating and passing food, and ensure everyone, especially the eldest or most senior person, has started eating before you do.",eating,Recognition and observance of dietary restrictions and dining etiquette as a form of respect during communal meals.
Saudi Arabian,"It is correct to refrain from eating, drinking, or smoking in public during fasting hours.",eating,Respect for religious practices and customs in dining etiquette.
Saudi Arabian,It is respectful to start eating only after the eldest or most senior person at the meal has begun.,eating,Respect for tradition and the significance of communal meals in fostering social bonds.
Saudi Arabian,It is correct to bring a modest gift intended for the whole family when visiting someone's home.,gift_giving,"Respect and thoughtfulness in gift giving, emphasizing the importance of community and familial relations."
Saudi Arabian,It is correct to give and receive gifts with the right hand or both hands if the item is heavy.,gift_giving,Respect towards cultural customs and sensitivities in gift-giving.
Saudi Arabian,"It is respectful to give gifts using the right hand, and choose items that consider the recipient's cultural and personal sensitivities.",gift_giving,Respect and appreciation for the recipient in the act of gift-giving.
Israeli,It's considered polite to avoid interrupting or walking in front of someone who is engaged in a focused activity or personal ritual.,basic_etiquette,Respect for religious practices and the significance of personal attire in expressing cultural identity.
Israeli,It is respectful to avoid interrupting someone who is engaged in a moment of personal reflection or prayer.,basic_etiquette,Respect for religious practices and observance of communal norms.
Israeli,It is okay to arrive within half an hour of the designated time for a casual gathering.,basic_etiquette,Respect for religious practices and the personal significance of traditions.
Israeli,"When visiting homes, it's respectful to follow the host's lead on traditional practices, regardless of personal beliefs.",visiting,Hospitality and reverence for traditions and religious practices within the home.
Israeli,"When visiting someone's home, it is proper to leave your bag outside the bathroom.",visiting,Respect for the host's customs and traditions during visits.
Israeli,It is considerate to inquire about dietary restrictions before preparing or serving food.,religious_dietary_laws,Respect for religious dietary practices.
Israeli,It is respectful to inquire about dietary restrictions before serving or consuming food with others.,religious_dietary_laws,Respect for diverse dietary practices and religious beliefs.
Israeli,One must consider the dietary restrictions of others before preparing or sharing a meal.,religious_dietary_laws,Respect for dietary laws and practices rooted in religious beliefs.
Israeli,It is appreciative to finish your meal and accept offers of additional servings.,eating,Gratitude and respect for food and the host's hospitality.
Israeli,It is considerate to accept additional servings of food when offered by the host.,eating,"Hospitality and inclusiveness in social gatherings, emphasizing communal sharing and appreciation for food."
Israeli,It is expected to finish your plate during meals and accept offers of additional servings of food.,eating,Gratitude and respect for food and the person providing it.
Israeli,"When giving a gift, choose items that are considerate of the recipient's cultural and religious beliefs.",gift_giving,Thoughtfulness and adaptability in gift-giving to respect others' cultural and religious beliefs.
Israeli,Choosing a gift should reflect thoughtfulness and respect for the recipient's cultural or personal beliefs.,gift_giving,Sensitivity and respect in gift-giving by considering the recipients' beliefs and preferences.
Hungarian,Respect is shown by using titles or last names until invited to do otherwise.,basic_etiquette,Observance of formal social etiquette to show respect and consideration for others.
Hungarian,It is important to wait until being invited before using someone’s first name in interactions.,basic_etiquette,Respect and adherence to established social manners to ensure harmonious interactions.
Hungarian,Using someone's first name only after being invited to do so.,basic_etiquette,Respect for social norms and personal dignity through the practice of proper etiquette.
Hungarian,Arrive on time or within a reasonable time frame for social gatherings to show respect.,visiting,Respect for the host's time and effort in organizing social gatherings.
Hungarian,Arrive on time or up to 30 minutes later for social gatherings to show respect.,visiting,Respect for others' time and preferences in social settings.
Hungarian,"Arriving on time, or at most 30 minutes late for less formal gatherings, is a sign of respect and consideration.",visiting,Valuing punctuality as a sign of respect for others' time and commitments.
Hungarian,It is correct to avoid seasoning your food before tasting it.,eating,Appreciation and respect for culinary traditions and customs during meals.
Hungarian,Express gratitude and appreciation for a host's hospitality by finishing the food on your plate.,eating,Respect and appreciation for cuisine traditions and the hospitality of hosts.
Hungarian,"Avoid seasoning your food before tasting it at a meal, and respect the host's efforts by finishing what is on your plate.",eating,Respect and appreciation for cultural dining traditions and the significance of mealtime etiquette.
Hungarian,"It is correct to give gifts in odd numbers, but avoid the number 13.",gift_giving,Appreciation and respect for host through thoughtful selection and presentation of gifts.
Hungarian,"When giving flowers as a gift, choose an odd number but avoid the number 13.",gift_giving,Appreciation and respect through thoughtful gift-giving.
Hungarian,"When presenting flowers as a gift, choose an odd number but avoid the number 13.",gift_giving,Respect and thoughtfulness in the act of gift-giving.
Samoan,It is considerate to lower your physical stature to match or be below that of the seated individuals in a group setting.,basic_etiquette,Respect for elders and others through appropriate physical positioning and attentive behavior.
Samoan,It is correct to bring yourself to eye level or lower when speaking with someone seated to show respect.,basic_etiquette,Respect for elders and sensitivity to the sacredness of physical and social spaces.
Samoan,"It is respectful to speak to someone at or below your eye level, especially when they are seated.",basic_etiquette,"Respect and mindfulness towards others' comfort and status, particularly elders, in social interactions."
Samoan,"It is respectful to greet each individual in a gathering, starting with the highest-ranking person, and adopting a posture that does not point your feet towards anyone.",visiting,Respect and recognition of social hierarchy and proper etiquette in community gatherings.
Samoan,It is respectful to greet individuals by meeting them at their level and addressing them in a seated position rather than standing.,visiting,Respect and observance of social customs in interactions to foster community and harmony.
Samoan,It is proper to greet individuals in the order of their perceived status in the room and to sit in a position as directed by the host.,visiting,Respect and observance of traditional greetings and seating arrangements during visits.
Samoan,Wait to be invited to start eating and ensure to take enough food on your first serving to avoid needing a second.,eating,Respect for host traditions and generational hierarchy in communal dining settings.
Samoan,It is correct to wait for the host or elders to begin eating before you start your meal.,eating,Respect for hosts and elders through adherence to mealtime traditions and etiquette.
Samoan,Wait for elders or the host to begin eating before starting your meal.,eating,"Respect for traditions and elders in communal activities, especially during meals."
Samoan,"When presenting or receiving a gift, express humility and appreciation, regardless of the gift's value.",gift_giving,Humility and appreciation in the act of giving and receiving gifts.
Samoan,"When receiving a gift, show appreciation by how you handle the gift, not just verbally.",gift_giving,Humility and appreciation in the act of giving and receiving gifts.
Samoan,"When gifting, persistent generosity and humble acceptance are key.",gift_giving,Respect and humility in the act of giving and receiving gifts.
Turkish,Decline offers politely at first and accept upon further insistence to show humility and respect for the sincerity of the gesture.,basic_etiquette,Respect and humility in social interactions through the thoughtful practice of offer and refusal.
